,account_id,count
17010,3790217,33
25678,6565998,33
26572,6688261,33
21707,5412254,33
24998,6360789,33
1353,101038,33
3559,366892,33
16205,3572567,33
22396,5611120,33
22190,5558871,33
23494,5945390,33
4468,506259,33
20936,5196283,33
14280,3035574,33
21347,5301459,33
6661,1135394,33
24535,6223279,33
13961,2914396,33
17990,4025054,33
23640,5976332,33
5998,980114,33
14636,3140982,33
21057,5223905,33
26630,6692494,33
18157,4064062,33
21317,5295376,33
6128,1014484,33
8824,1699664,33
8884,1708147,33
23808,6020966,33
23839,6028010,33
14759,3179439,33
13045,2595789,33
838,64506,33
2891,273685,33
25501,6522781,32
2833,262322,32
5594,855639,32
12195,2368648,32
14409,3073496,32
6155,1023710,32
5573,851590,32
10347,2005890,32
14521,3106539,32
14670,3153250,32
10406,2017527,32
4937,597341,32
10581,2053196,32
17969,4019558,32
23488,5944018,32
9966,1942002,32
12170,2363053,32
13287,2668489,32
16464,3646116,32
17357,3874052,32
13222,2646292,32
1308,97238,32
12912,2550844,32
9270,1766427,32
15871,3488105,32
4515,514046,32
18909,4319587,32
22861,5746820,32
7454,1381024,32
20879,5184383,32
4500,511400,32
20823,5170654,32
19737,4768316,32
13829,2863806,32
7037,1258517,32
18772,4254586,32
4724,548882,32
24373,6180397,32
23126,5841612,32
9507,1841946,32
14276,3034852,32
14233,3021828,32
3969,418048,32
17678,3961533,32
7763,1467022,32
17488,3910776,32
21779,5441490,32
25123,6399631,32
2178,172120,32
25433,6498005,31
18574,4174058,31
764,60206,31
14297,3040180,31
18584,4176030,31
24030,6087831,31
23427,5926747,31
5879,951481,31
1757,134178,31
18445,4137970,31
23851,6030470,31
1818,142059,31
4919,593430,31
4864,582585,31
23523,5951775,31
17920,4009532,31
15355,3350305,31
20015,4883377,31
23985,6073628,31
23929,6056179,31
21093,5233851,31
14528,3108663,31
12038,2333890,31
12260,2381915,31
14806,3192976,31
17702,3968477,31
15802,3465868,31
3899,410477,31
26657,6695085,31
8203,1558593,31
3788,394353,31
2073,163925,31
3662,380202,31
9001,1719977,31
2226,179737,31
2966,287284,31
872,66845,31
3294,330556,31
21910,5476149,31
12786,2504902,31
21717,5413942,31
6839,1203557,31
15425,3369011,31
19600,4621049,31
15588,3414583,31
10767,2086254,31
7520,1399745,31
7560,1415016,31
7408,1361844,31
18615,4185487,31
13821,2860547,31
7180,1294985,31
15091,3282143,31
5657,873495,30
23322,5901556,30
18581,4175549,30
26975,6730101,30
20289,5027397,30
3446,349857,30
8533,1622793,30
8922,1711500,30
12863,2528841,30
8389,1598274,30
11176,2155282,30
21828,5456742,30
1202,89851,30
25834,6598546,30
15930,3503044,30
24752,6284766,30
3581,369678,30
7835,1483805,30
12738,2493940,30
6286,1052516,30
15266,3327525,30
18447,4139288,30
1848,144575,30
404,30602,30
14512,3104323,30
18386,4122057,30
12185,2366908,30
10080,1970096,30
5332,775467,30
1633,124482,30
13141,2624023,30
7610,1428582,30
15900,3496135,30
12532,2445779,30
22900,5758395,30
6683,1140704,30
9405,1804162,30
17765,3982092,30
21569,5370838,30
9407,1804585,30
13755,2839738,30
24660,6257145,30
4577,521705,30
10649,2066851,30
20644,5131225,30
11062,2135663,30
17444,3898504,30
20004,4876818,29
2499,212667,29
11242,2169744,29
13143,2624513,29
23718,5994972,29
18666,4213649,29
23299,5892109,29
9635,1878206,29
18540,4164095,29
24051,6094634,29
15045,3267019,29
6281,1051670,29
23534,5954349,29
20040,4894461,29
10365,2008750,29
15394,3360386,29
24396,6185883,29
26597,6689768,29
6771,1177313,29
1920,149834,29
25909,6610198,29
9351,1788715,29
13626,2789044,29
12626,2468360,29
13591,2775937,29
7650,1443172,29
18945,4334023,29
26364,6672750,29
17798,3988441,29
22726,5699659,29
20119,4933559,29
7405,1360159,29
4815,570817,29
23096,5833349,29
15432,3371289,29
22887,5755511,29
7170,1293129,29
20648,5131564,29
9099,1742046,29
1398,104878,29
8082,1539655,29
2084,164693,29
26211,6650718,29
15807,3467290,29
17442,3897628,29
3374,342120,29
571,42552,29
1323,98391,29
8325,1584419,29
3452,350105,29
22132,5542701,29
22110,5539173,29
11316,2188076,29
26978,6730258,28
4588,524287,28
5264,761173,28
4521,514489,28
25725,6576275,28
12583,2457856,28
8655,1649532,28
20353,5060535,28
12873,2534170,28
19380,4559171,28
15183,3306815,28
8583,1632143,28
5852,941954,28
591,44820,28
20554,5114860,28
25132,6401377,28
8669,1655643,28
16631,3686793,28
26616,6691660,28
1112,82255,28
21293,5290562,28
6717,1147712,28
26066,6629446,28
15967,3515177,28
22607,5666013,28
10525,2041119,28
11848,2300079,28
10667,2071039,28
9469,1824511,28
16716,3710755,28
16740,3719318,28
25358,6471621,28
8682,1661312,28
21207,5264004,28
20830,5174246,28
24228,6140437,28
4299,466812,28
19126,4433700,28
3992,420355,28
7759,1465236,28
26893,6721911,28
46,3828,28
25696,6570004,28
1732,131939,28
18374,4119962,28
5969,972649,28
5916,959917,28
15887,3493052,28
8070,1538950,28
22709,5695766,28
9599,1867219,28
6194,1030915,28
8148,1549479,28
3643,378721,28
2132,168430,28
24002,6080645,28
1011,76917,28
23981,6072976,28
26580,6688489,28
822,63650,28
4509,513702,27
15189,3308376,27
8507,1618125,27
3211,321865,27
8565,1628754,27
15250,3323193,27
16899,3761343,27
20451,5096033,27
20517,5108870,27
2910,277369,27
10057,1965028,27
9361,1792664,27
6158,1024791,27
15318,3341087,27
24787,6294624,27
10592,2055702,27
1639,125015,27
12431,2423062,27
15812,3468006,27
18757,4251407,27
4132,436740,27
2045,161711,27
8023,1531101,27
21767,5436077,27
3453,350159,27
1993,155731,27
24650,6255158,27
924,70377,27
18788,4257568,27
14812,3194734,27
21598,5377867,27
16306,3600899,27
26319,6669202,27
3291,330238,27
23280,5885323,27
9479,1828071,27
3317,333569,27
21848,5461696,27
19429,4569982,27
4359,479288,27
502,37500,27
13062,2600521,27
15545,3401479,27
4345,476260,27
6992,1245034,27
10984,2122526,27
24836,6311021,27
13668,2801556,27
24766,6288742,27
19020,4372274,27
9308,1777660,27
7777,1470324,27
6249,1044025,27
26385,6674307,27
6282,1051769,27
20908,5190775,27
18991,4358834,27
9864,1920192,27
20971,5203156,27
11279,2179094,26
12527,2445498,26
18908,4319252,26
14662,3150195,26
6690,1142777,26
2360,196087,26
8574,1630179,26
2328,193201,26
12514,2443083,26
17377,3879848,26
25239,6432893,26
12918,2553768,26
26569,6687983,26
12103,2349097,26
23539,5955289,26
10241,1991338,26
21187,5257816,26
5192,736183,26
15121,3292120,26
2978,289397,26
17426,3892031,26
8479,1613596,26
5893,955085,26
8553,1627070,26
124,9534,26
9624,1874926,26
22316,5589154,26
26873,6720487,26
15023,3261155,26
1737,132807,26
16264,3589297,26
8281,1574924,26
18163,4065469,26
4734,550511,26
891,68355,26
26117,6636940,26
14046,2948788,26
9557,1855354,26
5674,884706,26
21761,5432792,26
14347,3054183,26
20094,4919311,26
18993,4359413,26
17467,3905773,26
3659,379861,26
3622,375720,26
19841,4839334,26
20834,5174803,26
15405,3363534,26
15429,3370728,26
7125,1278812,26
8172,1553777,26
1664,126517,26
5074,709083,26
6343,1064960,26
9274,1767258,26
17682,3962726,26
1767,135067,26
24877,6321683,26
3916,412205,26
7955,1518612,26
21074,5226803,26
12936,2558906,26
15336,3346026,26
17928,4011025,26
20465,5099433,26
2905,276565,26
8720,1675310,26
21972,5491969,26
25513,6527372,26
25606,6548127,26
11315,2188068,26
2601,227278,26
16730,3714796,26
5954,969986,26
2656,234449,25
11309,2186941,25
16779,3731826,25
21966,5489706,25
4928,595573,25
22473,5632682,25
10341,2004877,25
24748,6283383,25
15736,3452986,25
1441,108992,25
3925,413161,25
24564,6229837,25
26631,6692510,25
13480,2738835,25
3884,409254,25
20184,4968211,25
24185,6129078,25
11963,2321896,25
20828,5172762,25
12843,2523329,25
22415,5615772,25
8059,1537759,25
15993,3520247,25
10702,2075465,25
22631,5672019,25
6982,1242717,25
20104,4922957,25
11936,2316260,25
1360,101633,25
22357,5602237,25
19183,4462966,25
17479,3907775,25
5715,896391,25
14740,3173095,25
21086,5231514,25
4270,461162,25
1132,84353,25
18983,4355506,25
9741,1900854,25
19844,4839566,25
462,34496,25
5396,791142,25
21031,5215754,25
9498,1838396,25
20968,5202479,25
18302,4103372,25
18294,4102490,25
5813,929283,25
26139,6640926,25
19760,4809860,25
4675,536148,25
14022,2939011,25
7227,1309092,25
20889,5186376,25
10262,1993114,25
9841,1916473,25
4789,565401,25
19238,4489388,25
144,11185,25
17438,3896114,25
16349,3613834,25
16371,3619177,25
25778,6588461,25
12001,2329263,25
14966,3240763,25
23337,5904056,25
21204,5263411,25
5846,939825,25
576,43189,25
3266,325553,25
21918,5478417,25
9965,1941721,25
2546,219005,25
58,5117,25
15242,3321102,25
26691,6698711,25
25483,6514613,25
2707,242518,25
1224,91618,25
14632,3140041,24
18531,4160269,24
25389,6481036,24
41,3146,24
6042,993017,24
6045,994209,24
2721,244829,24
12954,2565527,24
25437,6500954,24
14673,3154073,24
4656,533251,24
4558,519048,24
7222,1307308,24
4723,548880,24
9849,1917318,24
5491,826794,24
15550,3402321,24
20912,5191401,24
7288,1327981,24
7278,1325449,24
7187,1297499,24
7130,1279780,24
14842,3202797,24
352,25419,24
6492,1097545,24
23380,5914870,24
13723,2826287,24
9451,1819347,24
4278,462789,24
4247,454437,24
21476,5344462,24
9742,1901023,24
5437,803030,24
11958,2320953,24
20088,4917734,24
15506,3390389,24
23065,5824045,24
23068,5825901,24
15442,3373733,24
10749,2083504,24
7566,1416216,24
22667,5680091,24
26151,6642815,24
1450,109683,24
926,70457,24
11883,2306046,24
4093,432175,24
4017,422916,24
5519,838435,24
1809,140707,24
7928,1513345,24
19598,4619816,24
17921,4009538,24
15372,3354419,24
23081,5830110,24
466,35332,24
14075,2958855,24
10573,2050867,24
11767,2278721,24
782,61493,24
5654,872108,24
26017,6622946,24
6375,1071845,24
17579,3938758,24
8058,1537739,24
15885,3492529,24
22345,5597228,24
8098,1542753,24
22380,5606054,24
22297,5584722,24
1362,101857,24
19161,4455095,24
9183,1754267,24
23112,5838808,24
21516,5355543,24
17400,3884033,24
16229,3580003,24
11042,2132687,24
8304,1579877,24
26699,6700779,24
3578,369166,24
26088,6634013,24
14271,3034236,24
18675,4218749,24
1135,84520,24
23158,5849090,24
1590,122105,24
26059,6628309,24
14480,3095026,24
5806,924542,24
25056,6377886,24
3409,345230,24
20625,5127677,24
20626,5127693,24
25179,6416095,24
8937,1713111,24
8538,1623426,24
2240,181536,24
3052,302661,24
